time,q_b_Lh,tau_b_Lh,action_b_Lh,target_q_b_Lh,q_Lh_Ll,tau_Lh_Ll,action_Lh_Ll,target_q_Lh_Ll,q_Ll_Ll1,tau_Ll_Ll1,action_Ll_Ll1,target_q_Ll_Ll1,q_Ll1_Ll2,tau_Ll1_Ll2,action_Ll1_Ll2,target_q_Ll1_Ll2,q_Ll2_La,tau_Ll2_La,action_Ll2_La,target_q_Ll2_La,q_La_Lf,tau_La_Lf,action_La_Lf,target_q_La_Lf,q_b_Rh,tau_b_Rh,action_b_Rh,target_q_b_Rh,q_Rh_Rl,tau_Rh_Rl,action_Rh_Rl,target_q_Rh_Rl,q_Rl_Rl1,tau_Rl_Rl1,action_Rl_Rl1,target_q_Rl_Rl1,q_Rl1_Rl2,tau_Rl1_Rl2,action_Rl1_Rl2,target_q_Rl1_Rl2,q_Rl2_Ra,tau_Rl2_Ra,action_Rl2_Ra,target_q_Rl2_Ra,q_Ra_Rf,tau_Ra_Rf,action_Ra_Rf,target_q_Ra_Rf,omega_x,omega_y,omega_z,roll,pitch,yaw
0.0,0.3,0.0,0.0,0.10238299,0.0,0.0,0.0,-0.22019795,0.0,0.0,0.0,0.1498265,-0.6,0.0,0.0,-0.67075696,0.3,0.0,0.0,0.51876954,0.0,0.0,0.0,0.08857973,-0.3,0.0,0.0,-0.2864686,0.0,0.0,0.0,-0.0428395,0.0,0.0,0.0,-0.09933759,0.6,0.0,0.0,0.28910417,-0.3,0.0,0.0,-0.3905345,0.0,0.0,0.0,-0.01705695,0.0,0.0,0.0,0.0,0.0,3.141592653589793
0.02,0.24544329855951785,-7.210387120034565,0.0,0.272896646,-0.03729872847836524,-11.927998106073815,0.0,-0.145965758,0.07943162935183878,-3.122134117656694,0.0,0.039761227999999996,-0.6128652866994719,-4.383303953127016,0.0,-0.63163832,0.3981272375309316,-0.24790094844548172,0.0,0.366134116,0.06148991418242104,-0.5302788905971706,0.0,0.042156658,-0.21983615948474858,-15.484664884142092,0.0,-0.046148735999999996,-0.004937127395872791,-2.2212151457822937,0.0,-0.12044372400000002,0.000977146521278182,-8.601569413974921,0.0,-0.055530590000000005,0.5242779757890367,-15.251913014904806,0.0,0.481118402,-0.2972264190296938,-4.102871738403154,0.0,-0.11291092399999998,-0.01818368881129879,-0.1087888192426115,0.0,-0.02709755,0.5280131552060984,-1.6108629106084185,-0.6070737669484279,0.0019361217840663033,-0.028516238626943375,-3.14015462210801
0.04,0.20603949187134774,9.163006595302422,0.0,0.34381586519999996,-0.10311532857013822,2.6657667029121246,0.0,-0.0825685924,0.057624489272335,0.6975282710977599,0.0,-0.013875856000000002,-0.6478669116954475,4.560304150587408,0.0,-0.59642834,0.37945796467247017,0.8346543771509657,0.0,0.41610804,0.04671525244337871,0.09563479528542337,0.0,0.020131324,-0.16088487083701483,7.003123749552121,0.0,0.04081072200000001,-0.039967900359824525,-3.747298566786455,0.0,-0.10337900368,-0.027342377587313012,-0.332825072839976,0.0,-0.010622734016799999,0.46526376622853377,5.25872593753297,0.0,0.6616856548,-0.23319772797004626,3.3857020088745964,0.0,0.006798146240000011,0.015503501172977411,-1.5581574813946815,0.0,0.006610479040000002,1.1750013141405147,-0.9279973196605256,-0.3707391555395576,0.021338932142217687,-0.05161538738058292,3.1299716117200402
0.06,0.1975301731408346,14.797494642171525,0.0,0.29234353304,-0.14480473005243458,8.430222528181181,0.0,-0.04154363848,0.001727608174265182,1.811234500487493,0.0,-0.041055659200000004,-0.6610343605759791,6.737358589139796,0.0,-0.6042662040000001,0.3915507520976933,0.37808983871358026,0.0,0.41347180000000006,0.016146769937710692,0.2560651145954072,0.0,0.06620568880000001,-0.1532309481975565,18.40016568662135,0.0,-0.14649737560000003,-0.06743312766128677,-2.3653820657718025,0.0,0.06604704726400001,-0.024637439087030193,-0.5696025733327017,0.0,-0.005078274803359999,0.5055722386087197,10.780184328931178,0.0,0.94805500296,-0.20964785380607281,5.224505543562729,0.0,-0.534453098752,0.036960121628105636,-0.9340311059145812,0.0,-0.031762024192,-0.015351878644364242,-0.8876477496941462,0.9194889699880092,0.03274494157256128,-0.06666192231988628,3.132869248503138
0.08,0.20804123863046559,8.092865451532639,0.0,0.08817655460799999,-0.13452433046010215,5.6948351015386045,0.0,-0.048795911696,-0.036829612259901424,1.215339001061649,0.0,-0.018194747839999997,-0.6519211358362358,3.654848554943503,0.0,-0.7093118087999999,0.4064890260705707,-0.21257998193208316,0.0,0.27065427200000003,0.048565903582419814,0.1445572594269397,0.0,0.16012948976000002,-0.21369150704996348,7.9824458994347856,0.0,-0.37943071512000004,-0.04060037588168338,5.099708370720214,0.0,0.11836380145280001,-0.020874457508276673,0.6504450994447505,0.0,-0.003472446960672,0.7535535039769283,0.17172745197733263,0.0,1.194705936592,-0.3468052387350236,0.4269383308315522,0.0,-0.7716606437504,-0.029006423287230305,0.2547284949913404,0.0,-0.0837104048384,-1.602100267013663,-1.1226959724568186,1.6303414762847797,0.0174533526070872,-0.07997509746680437,-3.131768974104333
0.1,0.2054721016833254,-9.15930877884632,0.0,-0.029489849078400007,-0.09126261279013644,-0.9957656743873535,0.0,0.0323390576608,-0.0289344912594662,-0.14177366724585339,0.0,0.015790946432000002,-0.6530683885120117,-4.904282012133843,0.0,-0.7844387617599999,0.3492238397775221,-0.08859378991240385,0.0,0.1788226544,0.13875854020144113,-0.09564398995395418,0.0,0.256522353952,-0.2690282729966699,-9.068888031487404,0.0,-0.513762991024,0.03844648768060985,-0.8081507362926512,0.0,0.12404551229056,-0.014287708727293869,-0.5700730163888383,0.0,-0.0239451373921344,1.0581912002807035,-9.882731198457462,0.0,1.2299735313184001,-0.5423158679871248,0.5268665799258834,0.0,-0.67976680075008,-0.0777218081821548,0.0703756095788538,0.0,-0.08223983296768,-2.046526047279079,-1.8396621433565075,0.8503411183660572,-0.01834244424222007,-0.10430818274882717,-3.110910822782067
0.12,0.16883197124250207,-14.861287041754945,0.0,-0.00268702581568,-0.029226785816295887,0.005107545678003866,0.0,0.07164836353216,-0.0048133370100828365,-0.01682264609745099,0.0,0.0443706852864,-0.6835065860388033,-6.947195982457506,0.0,-0.7759868643519999,0.2709412927132933,0.13159832433528695,0.0,0.07973050688,0.23417044351147853,-0.10109362555576862,0.0,0.2165811747904,-0.29995830622306086,-18.56732613035804,0.0,-0.5041231502048,0.137063487296843,-9.832362798392179,0.0,0.074704790458112,-0.004753378813498872,-3.3277695340492315,0.0,0.0023283565215731217,1.246211940911537,-13.571000877301778,0.0,1.2959814822636802,-0.6080454583890987,-0.0033362586957608187,0.0,-0.6311862641500161,-0.07585501983391299,-0.23571075618850468,0.0,-0.058456958593536,-2.176889848704941,-1.7057445265131665,-0.6256802509708446,-0.0626983295849548,-0.1391204491982616,-3.108798318555607
0.14,0.1152923399947583,-6.232960597221022,0.0,-0.011524765163136,0.018924940524692756,1.6143580719532555,0.0,0.028644392706432,0.02413124609781209,0.10826683856169383,0.0,0.08585100105728,-0.7146085919999172,-3.4002878386083144,0.0,-0.7322023968703999,0.1756294650491322,0.6755429308216376,0.0,-0.07103777862400001,0.2182737337767689,0.06385230903894175,0.0,0.13554797095808,-0.35286505174199867,-9.621594680597362,0.0,-0.50198220604096,0.18001953227767167,-12.342364052885992,0.0,0.0895277980916224,0.03206625987704342,-5.789059317769694,0.0,0.033484351304314625,1.3344360446934096,-8.600373929476087,0.0,1.2071202724527361,-0.6200680346584738,0.13588744589434376,0.0,-0.6141251248300033,-0.04926094981289668,-0.41015621318522,0.0,-0.009111519718707198,-1.3026295135378805,-1.0518100912176678,-1.5216317541138271,-0.0930291829663457,-0.16657795482785503,-3.1289622746441097
0.16,0.051638220502120157,-1.1622137062322757,0.0,-0.020841625032627202,0.03551247057947828,-1.2114012752707934,0.0,-0.05954101745871361,0.06699402956873614,-0.7031525212847125,0.0,0.11172219221145599,-0.717522212319321,-0.9515786708670015,0.0,-0.75498626337408,0.0507839868735915,0.9463195719679529,0.0,-0.17002128372480002,0.1510635055267797,0.040838839555570605,0.0,0.03526873019161599,-0.39954150202646826,-4.907282273858963,0.0,-0.492617201208192,0.17064937113629264,-6.055555070957224,0.0,0.05111085561832448,0.05579008326750957,-3.4915038691268396,0.0,0.02529319026086292,1.2981117004346197,-2.7505406990786128,0.0,1.1038854384905472,-0.617831158717551,-0.45531079564053367,0.0,-0.5792645129660006,-0.007508356621054949,-0.2838482621518983,0.0,0.02359306405625856,-0.5832222167189087,-0.27859390531704054,-1.8653143874639797,-0.10573461111395571,-0.18519370150274453,3.122710260105198
0.18,0.009634703482359987,0.5588163997218984,0.0,-0.04213615700652545,0.00784446961036299,-2.3652670358261085,0.0,-0.11941383549174274,0.10532317049215759,-1.016543199207843,0.0,0.0864251184422912,-0.7353415502306284,0.12602758142901704,0.0,-0.790655708674816,-0.06315566407232674,0.8751267356275809,0.0,-0.29439812074496,0.05996436910584531,0.010629669451744483,0.0,-0.0946007339616768,-0.44798071035391945,0.6334875460309313,0.0,-0.4864925282416384,0.12496061877951524,-1.9179075441369955,0.0,0.0686994111236649,0.053780239037402165,-1.5658530179089096,0.0,0.02301611005217258,1.1841440293609815,2.965171463335656,0.0,0.9664379436981094,-0.5966186482834491,-0.8867428879748211,0.0,-0.5903327105932001,0.02499475512766692,-0.1452161795480152,0.0,0.001136220811251711,0.6006321285919529,0.06036557934445283,-2.158797156353644,-0.09696087075464664,-0.19106842718850056,3.0835402787984614
